,user,tweet,date_tweet,tweet_id,keyword
58,sugar baby.,ntu keep having announcement and the bell is starting to get annoying.,2020-02-08 12:11:01,1226116218450411523,"ntu,nanyang technological university"
59,Jinhua Kuek 郭进华,@kittensarepink Not sure if hospitals/university provision shops would have but worth trying. At least NTU Prime Supermarket hasn't experienced a tsunami from what I observed,2020-02-08 11:55:51,1226112402799771648,"ntu,nanyang technological university"
60,Argentum,"@EnouementSC Ah, i see you're a man of culture aswell",2020-02-08 11:22:25,1226103989441265664,"ntu,nanyang technological university"
61,King Chody's Minion,"All Hail the Legendary NTU SCSE SG Top Graduate, King Chody! *winks*",2020-02-08 10:56:21,1226097426957766657,"ntu,nanyang technological university"
62,Azreen Yunus,New S$180m building at NTU to be Asia's largest wooden building https://t.co/oTZLfvH8Ju,2020-02-08 10:34:54,1226092029605629953,"ntu,nanyang technological university"
63,Albert Rudatsimburwa 🇷🇼,"You're offering me the opportunity to actually clarify that phonetically isn't good enough. The oral grammar is the source code for the writings...otherwise you create a discrepancy between the rationale of the speech and its graphic representation. In a culture of Mu ntu, Ki ntu https://t.co/SOmUr7omHf",2020-02-08 10:29:27,1226090657288261632,"ntu,nanyang technological university"
64,Yi Li,"How is patch recommendation done in Alibaba? Preprint of our paper, ""PRECFIX: Large-Scale Patch Recommendation by Mining Defect-Patch Pairs"" is now online: https://t.co/k35LcBsexp @ICSEconf https://t.co/1F6JUX0Jgy",2020-02-08 10:12:50,1226086475973844992,"ntu,nanyang technological university"
65,Dr. Clemence,@Lelo_Gx3 @Thulz_NTU @Abramjee Rearrange the English there i wrote whilst attending to something more important lol,2020-02-08 09:40:52,1226078433366683648,"ntu,nanyang technological university"
66,Dr. Clemence,"@Lelo_Gx3 @Thulz_NTU @Abramjee Its better to try and fail than to fail to try https://t.co/QvfDfM8KKI one perfectionist one hell of a guy.i love unity,love,respect ,age,tribe,race or nationality.these silly excuses some people try to blame everything on other people is a no no to me.i love oneness.",2020-02-08 09:39:06,1226077990158729217,"ntu,nanyang technological university"
67,Amaechi.,Why the guy dey talk like okpo ntu? https://t.co/482oegYCrH,2020-02-08 09:38:40,1226077877629747205,"ntu,nanyang technological university"
68,SGEBENGU,@clemenceau001 @Thulz_NTU @Abramjee You’re now trying too hard now fam okay shap.,2020-02-08 09:17:02,1226072433733591040,"ntu,nanyang technological university"
69,UK Squirrel Accord,"Watch @BBCTwo Our #Coast. See @shine_tara talk to @NTU_ARES #PhD student Kat Fingland @FbyRedSquirrels about her #redsquirrel #research on the #Formby #redsquirrels being protected by local efforts in #Liverpool. @NTFormby @Lancswildlife @RedSquirrelsUtd

https://t.co/QuEqLJm2KP",2020-02-08 08:37:39,1226062523385946112,"ntu,nanyang technological university"
70,Matyas Liptovszky,Help us understand more about mobile phone use to support #recycling and #conservation! @TwycrossZoo @waza @BIAZA @MScEndanSpecies @NTUMScBiodiver1 @NTU_ARES @PrimConsOBU @PrimateSociety @peopleprimate @UoR_PrimateMRes @NottinghamVets @thezooscientist @ConsMedLiv https://t.co/1eaLnxrBcQ,2020-02-08 08:16:44,1226057258473283584,"ntu,nanyang technological university"
71,Dr Linda K. Kaye,@GeorginaRudkin @DrCPW @Literacy_Trust @PsychologyNTU @NTUSocSciences @ntu_research May be of interest @LilacLibrarian @LibraryClimb,2020-02-08 07:36:02,1226047018440810496,"ntu,nanyang technological university"
72,King Chody's Minion,"All Hail the Legendary NTU SCSE SG Top Graduate, King Chody! *waves*",2020-02-08 07:05:20,1226039291685548037,"ntu,nanyang technological university"
73,King Chody's Minion,"I am Carl, a loyal minion of King Chody, the Legendary NTU SCSE SG Top Graduate! *burps*",2020-02-08 06:25:23,1226029237787860992,"ntu,nanyang technological university"
74,King Chody's Minion,"I am Bob, a loyal minion of King Chody, the Legendary NTU SCSE SG Top Graduate! *claps*",2020-02-08 06:05:08,1226024139900825600,"ntu,nanyang technological university"
75,NorthTexasUnitedBball,NTU def Int’l Leadership Arl 86-48 at #TCALShowcase. @Isaiahjones2020 w 27. @IsaacStolz2020 w 16/5 assts @APaulukaitis w 13 &amp; jam @Nshelton2k20 w 12/6rbnds #JoshuaWallace w 8.  #LoveGodLoveOthersPlayBall @DJH5Report  @PrepHoops @PrepHoopsTX @AndrePowe11 @ihss_dfw https://t.co/icvdT514lf,2020-02-08 05:57:43,1226022277051035648,"ntu,nanyang technological university"
76,j⁷,@minkookyy 💀💀💀💀💀💀 i couldnt get grab from ntu / jp / je area at ALL ytd bc of the suspected case at jp,2020-02-08 05:52:11,1226020882448936963,"ntu,nanyang technological university"
