Date,Sentiment
12/2/2020 0:47,4
12/2/2020 0:38,4
12/2/2020 0:33,0
12/2/2020 0:28,0
12/2/2020 0:21,4
12/2/2020 0:17,4
12/2/2020 0:17,4
12/2/2020 0:10,4
11/2/2020 23:58,4
11/2/2020 23:57,4
11/2/2020 23:54,4
11/2/2020 23:54,0
11/2/2020 23:38,0
11/2/2020 23:36,0
11/2/2020 23:36,4
11/2/2020 23:35,4
11/2/2020 23:33,4
11/2/2020 23:32,4
11/2/2020 23:30,4
11/2/2020 23:30,0
11/2/2020 23:29,4
11/2/2020 23:27,4
11/2/2020 23:24,4
11/2/2020 23:12,4
11/2/2020 23:10,0
11/2/2020 23:05,4
11/2/2020 23:02,4
11/2/2020 22:59,0
11/2/2020 22:58,4
11/2/2020 22:56,4
11/2/2020 22:54,0
11/2/2020 22:52,4
11/2/2020 22:48,4
11/2/2020 22:45,4
11/2/2020 22:44,4
11/2/2020 22:42,4
11/2/2020 22:41,4
11/2/2020 22:41,4
11/2/2020 22:39,4
11/2/2020 22:30,0
11/2/2020 22:29,4
11/2/2020 22:28,4
11/2/2020 22:27,0
11/2/2020 22:26,4
11/2/2020 22:25,0
11/2/2020 22:25,4
11/2/2020 22:24,4
11/2/2020 22:19,4
11/2/2020 22:17,4
11/2/2020 22:13,4
11/2/2020 22:09,4
11/2/2020 22:01,4
11/2/2020 22:00,4
11/2/2020 22:00,4
11/2/2020 21:59,4
11/2/2020 21:47,4
11/2/2020 21:30,4
11/2/2020 21:28,4
11/2/2020 21:24,4
11/2/2020 21:10,0
11/2/2020 21:08,4
11/2/2020 21:01,4
11/2/2020 21:00,4
11/2/2020 20:53,4
11/2/2020 20:47,4
11/2/2020 20:41,4
11/2/2020 20:41,4
11/2/2020 20:35,4
11/2/2020 20:24,0
11/2/2020 20:21,4
11/2/2020 20:12,4
11/2/2020 20:10,0
11/2/2020 20:07,4
11/2/2020 20:02,0
11/2/2020 20:01,4
11/2/2020 20:01,4
11/2/2020 20:00,0
11/2/2020 19:58,0
11/2/2020 19:45,0
11/2/2020 19:45,0
11/2/2020 19:43,4
11/2/2020 19:38,4
11/2/2020 19:38,4
11/2/2020 19:37,4
11/2/2020 19:34,4
11/2/2020 19:22,0
11/2/2020 19:13,4
11/2/2020 19:02,0
11/2/2020 18:59,4
11/2/2020 18:54,0
11/2/2020 18:51,4
11/2/2020 18:50,4
11/2/2020 18:47,4
11/2/2020 18:42,4
11/2/2020 18:41,4
11/2/2020 18:38,0
11/2/2020 18:30,4
11/2/2020 18:29,0
11/2/2020 18:27,4
11/2/2020 18:15,4
11/2/2020 18:13,4
11/2/2020 18:12,4
11/2/2020 18:10,0
11/2/2020 18:09,4
11/2/2020 17:55,4
11/2/2020 17:52,4
11/2/2020 17:48,4
11/2/2020 17:46,0
11/2/2020 17:39,0
11/2/2020 17:33,4
11/2/2020 17:32,0
11/2/2020 17:32,0
11/2/2020 17:30,0
11/2/2020 17:25,4
11/2/2020 17:21,4
11/2/2020 17:21,4
11/2/2020 17:20,0
11/2/2020 17:19,0
11/2/2020 17:17,4
11/2/2020 17:14,0
11/2/2020 17:13,4
11/2/2020 17:11,4
11/2/2020 17:10,0
11/2/2020 17:07,0
11/2/2020 17:05,4
11/2/2020 17:04,4
11/2/2020 17:02,4
11/2/2020 16:59,4
11/2/2020 16:59,4
11/2/2020 16:58,4
11/2/2020 16:53,4
11/2/2020 16:51,4
11/2/2020 16:49,4
11/2/2020 16:48,4
11/2/2020 16:37,4
11/2/2020 16:31,4
11/2/2020 16:30,0
11/2/2020 16:27,4
11/2/2020 16:27,0
11/2/2020 16:02,4
11/2/2020 16:00,4
11/2/2020 15:53,4
11/2/2020 15:45,4
11/2/2020 15:45,4
11/2/2020 15:43,4
11/2/2020 15:40,0
11/2/2020 15:37,0
11/2/2020 15:31,4
11/2/2020 15:30,0
11/2/2020 15:30,4
11/2/2020 15:28,4
11/2/2020 15:18,4
11/2/2020 15:15,4
11/2/2020 15:14,0
11/2/2020 15:11,4
11/2/2020 15:11,4
11/2/2020 15:07,4
11/2/2020 15:05,4
11/2/2020 15:05,4
11/2/2020 14:59,4
11/2/2020 14:57,4
11/2/2020 14:55,4
11/2/2020 14:53,4
11/2/2020 14:52,4
11/2/2020 14:52,0
11/2/2020 14:50,4
11/2/2020 14:48,4
11/2/2020 14:48,4
11/2/2020 14:43,4
11/2/2020 14:35,0
11/2/2020 14:34,4
11/2/2020 14:33,0
11/2/2020 14:32,0
11/2/2020 14:30,0
11/2/2020 14:30,4
11/2/2020 14:29,4
11/2/2020 14:28,0
11/2/2020 14:28,4
11/2/2020 14:27,4
11/2/2020 14:23,4
11/2/2020 14:23,4
11/2/2020 14:21,4
11/2/2020 14:13,0
11/2/2020 14:12,0
11/2/2020 14:12,0
11/2/2020 14:11,0
11/2/2020 14:11,4
11/2/2020 14:11,4
11/2/2020 14:09,4
11/2/2020 14:09,0
11/2/2020 14:02,4
11/2/2020 14:01,4
11/2/2020 13:56,4
11/2/2020 13:55,4
11/2/2020 13:55,4
11/2/2020 13:47,4
11/2/2020 13:40,4
11/2/2020 13:36,4
11/2/2020 13:32,0
11/2/2020 13:30,0
11/2/2020 13:26,4
11/2/2020 13:25,4
11/2/2020 13:19,0
11/2/2020 13:18,0
11/2/2020 13:15,4
11/2/2020 13:11,4
11/2/2020 13:09,4
11/2/2020 13:07,4
11/2/2020 13:04,0
11/2/2020 13:00,4
11/2/2020 12:52,4
11/2/2020 12:48,4
11/2/2020 12:35,4
11/2/2020 12:35,4
11/2/2020 12:30,4
11/2/2020 12:17,4
20/4/2020 6:19,4
20/4/2020 6:14,4
20/4/2020 6:14,0
20/4/2020 6:11,4
20/4/2020 5:43,0
20/4/2020 5:35,4
20/4/2020 5:14,0
20/4/2020 4:53,0
20/4/2020 4:48,4
20/4/2020 4:36,0
20/4/2020 4:34,4
20/4/2020 4:11,4
20/4/2020 4:05,4
20/4/2020 3:52,4
20/4/2020 3:40,4
20/4/2020 3:38,4
20/4/2020 3:33,0
20/4/2020 3:28,4
20/4/2020 3:22,4
20/4/2020 3:21,0
20/4/2020 3:20,4
20/4/2020 3:17,4
20/4/2020 3:17,4
20/4/2020 3:03,4
20/4/2020 2:57,4
20/4/2020 2:47,4
20/4/2020 2:43,0
20/4/2020 2:43,4
20/4/2020 2:42,4
20/4/2020 2:36,4
20/4/2020 2:32,4
20/4/2020 2:29,4
20/4/2020 2:29,4
20/4/2020 2:27,4
20/4/2020 2:27,4
20/4/2020 2:25,4
20/4/2020 2:25,4
20/4/2020 2:24,4
20/4/2020 2:22,4
20/4/2020 2:11,4
20/4/2020 2:10,0
20/4/2020 2:06,4
20/4/2020 1:59,4
20/4/2020 1:56,4
20/4/2020 1:49,4
20/4/2020 1:33,4
20/4/2020 1:30,0
20/4/2020 1:28,4
20/4/2020 1:26,4
