,user,tweet,date_tweet,tweet_id,keyword
47,Nusy🌸,"@muftimenk .ts easy to give up on things 
Holding on it and trying more is worth . 
Fall once and rise again as if  you had never got t . Ask Allah for it and try for it and one day I.a   We will be blessed with what we want 
Trying and dua is the best two ingredients for a successful life",2020-02-09 00:50:02,1226307232863858688,"nus,national university of singapore"
48,CNA,NUS to implement e-learning for some classes amid coronavirus outbreak https://t.co/fihxmtPErf https://t.co/lP180qIdrT,2020-02-09 00:21:06,1226299951665143808,"nus,national university of singapore"
49,Prashant Sonar,Prof. Andrew Wee from National University of Singapore delivered an exciting talk on 2D Research including Graphene !!! @IFE_QUT @QUTSciEng @QUT https://t.co/aUAWjgXLTk,2020-02-09 00:03:57,1226295636493881345,"nus,national university of singapore"
50,B_Sharp,@nus_sling Taxi driver with the virus is a nightmare if he was working spreading it to every passenger.,2020-02-08 23:38:07,1226289135058653184,"nus,national university of singapore"
51,VittaWat OnWan,@goal Alisson only and then ster gen,2020-02-08 23:09:53,1226282026912735232,"nus,national university of singapore"
52,Singapore SLING,"7 new cases in Singapore with no China travel history, some with links to previously identified clusters. 
#nCoV2019
https://t.co/4plbDKwAdv",2020-02-08 23:06:23,1226281146972901376,"nus,national university of singapore"
53,Anal Genocide,@Riesenblut trimards ?,2020-02-08 22:12:05,1226267482433912835,"nus,national university of singapore"
54,Orlan,@MrJoe069 Thanks!,2020-02-08 22:12:02,1226267471025491968,"nus,national university of singapore"
55,Thiago Serra,"Another interesting application of satisfiability for verification is using approximate model counting to estimate the quality of explanations produced LIME’s successor Anchor according to the number of solutions supporting it. 

Link:  https://t.co/vAk1lQur1x

#AAAI20 #AAAI2020 https://t.co/iBupV66SfX",2020-02-08 21:52:48,1226262631595626502,"nus,national university of singapore"
56,Venus,Mt same https://t.co/JaYDUPhbRA,2020-02-08 21:36:53,1226258625959800832,"nus,national university of singapore"
57,Venus,@tomaodoce Samee,2020-02-08 21:36:43,1226258582099894273,"nus,national university of singapore"
58,VG RetroDeals UK,#Nintendo64 Console - Black NUS-001(EUR) WITH 3 GAMES #retrogaming #ebay 🔥🔗https://t.co/08N7f5BvLt https://t.co/Yjcv14o5aW,2020-02-08 21:34:17,1226257971493134337,"nus,national university of singapore"
